group,year,gini,theil
805,10,0.248995126,0.105904425
806,1,0,0
806,2,0,0
806,3,0,0
806,4,0,0
806,5,0,0
806,6,0.237577954,0.088671415
806,7,0.295280007,0.133787446
806,8,0.262697452,0.108696713
806,9,0.351498888,0.196666816
806,10,0.309826475,0.149794612
807,1,0,0
807,2,0,0
807,3,0,0
807,4,0,0
807,5,0,0
807,6,0.704896759,0.274708669
807,7,0.401480436,0.082911369
807,8,0,0
807,9,0,0
807,10,0,0
901,1,0,0
901,2,0,0
901,3,0,0
901,4,0,0
901,5,0,0
901,6,0.260682241,0.12422504
901,7,0.275103342,0.139412871
901,8,0.269432766,0.122226195
901,9,0.268319329,0.122629926
901,10,0.251244484,0.100642242
902,1,0,0
902,2,0,0
902,3,0,0
902,4,0,0
902,5,0,0
902,6,0.245672566,0.099917328
902,7,0.254948323,0.106895959
902,8,0.277334198,0.132087648
902,9,0.271401626,0.123417675
902,10,0.2721367,0.121838352
903,1,0,0
903,2,0,0
903,3,0,0
903,4,0,0
903,5,0,0
903,6,0.272753235,0.120067095
903,7,0.281582224,0.128132248
903,8,0.279424136,0.127982721
903,9,0.292777854,0.142503144
903,10,0.283840732,0.13322839
904,1,0,0
904,2,0,0
904,3,0,0
904,4,0,0
904,5,0,0
904,6,0.284028304,0.135735657
904,7,0.284535062,0.136534448
904,8,0.281256643,0.131267898
904,9,0.29582092,0.142375797
904,10,0.291524603,0.138672583
905,1,0,0
905,2,0,0
905,3,0,0
905,4,0,0
905,5,0,0
905,6,0.287735777,0.139710952
905,7,0.275943652,0.130819243
905,8,0.297090775,0.14487559
905,9,0.282713895,0.131591758
905,10,0.273617928,0.120202565
906,1,0,0
906,2,0,0
906,3,0,0
906,4,0,0
906,5,0,0
906,6,0.332325927,0.164528071
906,7,0.342509163,0.173956084
906,8,0.402259653,0.237830897
906,9,0.319463636,0.149503548
906,10,0.401857652,0.302215491
907,1,0,0
907,2,0,0
907,3,0,0
907,4,0,0
907,5,0,0
907,6,0.40722656,0.156741239
907,7,0.510433591,0.20870786
907,8,0.304045647,0.04696175
907,9,0.424909679,0.191786836
